system:index,AirTemp,Albedo,BuildingDensity,Humidity,LST,Latitude,Longitude,NDBI,NDVI,NDWI,WindSpeed,.geo
0,34.75824431313413,0.12939285714285714,0.0,27.78847637377365,50.452715660000024,28.327025011782933,77.14057923555362,0.17865127,0.13898218,-0.29012436,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14057923555362,28.327025011782933]}"
1,34.75824431313413,0.12939285714285714,0.0,27.78847637377365,50.66121487999999,28.327025011782933,77.14147755083773,0.19057971,0.11686039,-0.2789466,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14147755083773,28.327025011782933]}"
2,34.75824431313413,0.13241071428571427,0.0,27.78847637377365,51.006434900000045,28.327025011782933,77.14237586612185,0.20083433,0.15603448,-0.30808,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14237586612185,28.327025011782933]}"
3,34.75824431313413,0.12939285714285714,0.0,27.78847637377365,49.37945738000002,28.32792332706705,77.13878260498538,0.19990091,0.19056395,-0.31407648,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13878260498538,28.32792332706705]}"
4,34.75824431313413,0.12939285714285714,0.0,27.78847637377365,49.65289898000003,28.32792332706705,77.1396809202695,0.19528303,0.17655173,-0.29832572,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1396809202695,28.32792332706705]}"
5,34.75824431313413,0.12939285714285714,0.0,27.78847637377365,50.879968159999976,28.32792332706705,77.14147755083773,0.19424461,0.1316263,-0.27530807,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14147755083773,28.32792332706705]}"
6,34.75824431313413,0.13241071428571427,0.0,27.78847637377365,50.55183824000005,28.32792332706705,77.14327418140597,0.18734793,0.146554,-0.28689983,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14327418140597,28.32792332706705]}"
7,34.75824431313413,0.13241071428571427,0.0,27.78847637377365,49.700751260000004,28.32792332706705,77.14417249669009,0.124896154,0.23759791,-0.33146068,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14417249669009,28.32792332706705]}"
8,34.75824431313413,0.12785714285714286,0.0,27.78847637377365,48.73686961999999,28.328821642351173,77.13608765913301,0.18616918,0.14576457,-0.2759571,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13608765913301,28.328821642351173]}"
9,34.75824431313413,0.12785714285714286,0.0,27.78847637377365,50.565510320000044,28.328821642351173,77.13698597441713,0.18833102,0.1450168,-0.2861635,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13698597441713,28.328821642351173]}"
10,34.75824431313413,0.12785714285714286,0.0,27.78847637377365,50.18269208000004,28.328821642351173,77.13788428970125,0.18172291,0.15264246,-0.27874222,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13788428970125,28.328821642351173]}"
11,34.75824431313413,0.12939285714285714,0.0,27.78847637377365,50.879968159999976,28.328821642351173,77.14147755083773,0.20656447,0.13686286,-0.28485042,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14147755083773,28.328821642351173]}"
12,34.75824431313413,0.13241071428571427,0.0,27.78847637377365,50.780845580000005,28.328821642351173,77.14507081197421,0.19122085,0.12935768,-0.27914378,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14507081197421,28.328821642351173]}"
13,34.75824431313413,0.13241071428571427,0.0,27.78847637377365,50.90389430000005,28.328821642351173,77.14596912725833,0.20304666,0.1436082,-0.29237023,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14596912725833,28.328821642351173]}"
14,34.75824431313413,0.1268392857142857,0.0,27.78847637377365,44.19773906,28.32971995763529,77.13429102856477,-0.07695624,0.54388136,-0.5139394,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13429102856477,28.32971995763529]}"
15,34.75824431313413,0.1268392857142857,0.0,27.78847637377365,47.35940756000002,28.32971995763529,77.1351893438489,0.1965735,0.16775885,-0.28293738,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.1351893438489,28.32971995763529]}"
16,34.75824431313413,0.13208928571428571,0.0,27.78847637377365,50.77742755999998,28.32971995763529,77.14147755083773,0.21205424,0.13270758,-0.28379706,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14147755083773,28.32971995763529]}"
17,34.75824431313413,0.13446428571428573,0.0,27.78847637377365,51.580662260000054,28.32971995763529,77.14686744254244,0.17970619,0.093102664,-0.25427714,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14686744254244,28.32971995763529]}"
18,34.75824431313413,0.13446428571428573,0.0,27.78847637377365,51.450777500000015,28.32971995763529,77.14776575782658,0.21594435,0.12611397,-0.27444988,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.14776575782658,28.32971995763529]}"
19,34.75824431313413,0.12851785714285713,0.0,27.78847637377365,46.58009900000002,28.33061827291941,77.13159608271242,0.18067788,0.2597456,-0.35301894,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13159608271242,28.33061827291941]}"
20,34.75824431313413,0.12851785714285713,0.0,27.78847637377365,47.38675172000001,28.33061827291941,77.13249439799654,0.17697552,0.22972463,-0.33606556,1.3672807907677957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[77.13249439799654,28.33061827291941]}"
