NDVI,NDBI,NDWI,AirTemp,Humidity,WindSpeed,Albedo,BuildingDensity
-0.015859356,1.6920375,0.26858065,1.504638,-0.018366342,0.22855547,-1.7763201,-0.16951971
0.80854493,1.6833781,0.17257711,1.6032121,0.07152824,0.25697234,-1.8059698,-0.1140561
-0.1338926,1.6523105,0.29939166,1.565381,0.034454085,0.2121258,-1.18658,-0.15554367
-0.51467156,1.6045697,0.26617926,1.5462371,0.05942268,0.2083123,-1.7135106,-0.15560542
-0.2791093,1.6559567,0.18961214,1.4936091,-0.023103395,0.20188808,-1.6953821,-0.15741456
0.10247521,1.9272195,0.30083057,1.4624219,-0.050210126,0.2284655,-1.5497632,-0.16748472
-0.045042228,1.7271999,0.23215033,1.6514239,0.031815786,0.2258881,-1.441319,-0.1514124
-1.3677258,1.2981745,0.38484964,1.5784415,0.2687333,0.21471575,-1.5137599,-0.16102263
-0.033105858,1.6336641,0.13334544,1.526174,-0.047782626,0.2249813,-1.6004413,-0.18186882
-0.05259856,1.6478282,0.29269665,1.5210017,-0.038019553,0.22778498,-1.648444,-0.16464697
-0.056473274,1.6863089,0.041529402,1.5626887,-0.023344615,0.21231106,-1.6029882,-0.17139336
-0.002227648,1.7223812,0.25794265,1.4273607,-0.03316914,0.23654495,-1.4516908,-0.16809916
0.117986396,1.9171318,0.19591916,1.6429012,0.0179803,0.23148613,-1.5348238,-0.15687326
-0.099828154,1.7103398,0.29885933,1.5549334,0.028442727,0.23443098,-1.2386596,-0.16297024
-1.2752779,-3.2942803,0.8057098,1.6826228,0.08410024,0.2876734,-0.88319474,-0.24511383
-0.25128877,1.7007798,0.16481595,1.4906765,-0.031833015,0.21074717,-1.5634797,-0.14857507
0.06863003,1.7315125,0.27609813,1.443864,-0.032921523,0.23646684,-1.544478,-0.16113284
1.240808,2.171664,0.078226686,1.7473994,0.21080253,0.22181833,-1.1254406,-0.040716156
0.31786656,1.9391763,0.2704484,1.5036533,0.06417107,0.20577982,-0.9924161,-0.12936655
-1.8056525,1.2201619,0.49097517,1.420635,0.15083992,0.20601341,-1.9257711,-0.15671021
-1.4448863,1.1884785,0.3352514,1.3475987,-0.103003114,0.22760695,-2.126396,-0.1566496
-2.122843,1.2788891,0.3438322,1.4692717,0.029134516,0.1945445,-2.0821116,-0.15943778
-0.1370963,1.6043608,0.35948768,1.4644843,-0.06491699,0.2244321,-1.496082,-0.17096455
-0.18637046,1.7065365,0.4145354,1.6585411,0.057525307,0.18516503,-1.0802114,-0.105954245
0.09755485,1.8248199,0.30047408,1.60152,0.024915999,0.20562151,-1.1449822,-0.14385395
0.5334925,1.9545401,0.19752169,1.7093712,0.082024656,0.06804061,-1.1361612,-0.033867374
-1.3463727,-3.6870944,0.81364846,1.6183999,0.28536656,0.30369326,-0.967293,-0.23094463
-1.8450661,0.94063354,0.28607047,1.3366921,0.0774001,0.21735841,-2.2830763,-0.16959888
-0.122142725,1.5326664,0.25186116,1.5032933,-0.045448206,0.21736372,-1.5011982,-0.16154045
-0.15072404,1.8728635,0.44188976,1.5721623,0.051700626,0.05912492,-0.93957686,-0.015569854
-0.045251384,1.8366865,0.4027804,1.6551839,0.06387229,0.05917862,-1.0757352,-0.035182282
-1.3992342,-4.362559,0.7655589,1.0846078,0.6620522,0.24832329,-0.7478777,-0.24207778
-1.3187119,-5.8913293,0.9346722,0.989033,0.37508217,0.09352317,-0.7767061,-0.19317506
-0.80720156,1.5222929,0.3746322,1.5348783,0.02444188,0.2215842,-1.4680253,-0.12941217
0.47702873,1.970509,0.34598863,1.714254,0.07544615,0.09213212,-1.1718868,0.0088392785
0.8141462,2.101623,0.3367109,1.7229848,0.1306074,0.10309552,-1.0729939,0.02460928
-1.5561128,0.88730305,0.62302434,1.5515141,0.051627867,0.22431543,-1.334108,-0.13854352
-1.4982054,0.04816252,0.7345062,1.5843436,0.44907293,0.38121155,-0.9051229,-0.06845077
-1.3345335,-2.7888842,0.71342605,1.7234397,0.020855218,0.24787249,-0.72972775,-0.19485426
-1.2799428,1.4866482,0.50153106,1.409544,-0.014754373,0.21708557,-1.7457827,-0.15279043
0.91670805,2.1155353,0.25336313,1.7163346,0.10751664,0.103965364,-1.0782118,0.049287114
-0.8081325,1.7696563,0.365349,1.7975225,0.117305644,0.08716466,-1.0422971,-0.011242832
0.037080076,1.5783056,0.084690444,1.5652251,-0.032685827,0.23017097,-1.8416437,-0.1779435
-0.6063289,1.5662314,0.19784528,1.5847365,0.048520826,0.22171715,-2.0121124,-0.13195549
-0.0016653034,1.8043756,0.41559958,1.6503325,0.05163133,0.19657473,-1.0881958,-0.11548209
