							
2024.0	5.0	15.0	0.0	24.05716858	37.58724993	1.784201959	0.0
2024.0	5.0	15.0	1.0	24.75515137	40.20185994	1.252898179	49.53868056
2024.0	5.0	15.0	2.0	28.85300598	32.00689337	0.721763059	230.3227083
2024.0	5.0	15.0	3.0	32.57590637	24.73052702	0.914398886	449.6744444
2024.0	5.0	15.0	4.0	35.48267517	20.99025165	1.211462738	657.0988889
2024.0	5.0	15.0	5.0	37.77272949	17.5321803	1.613317757	827.1063889
2024.0	5.0	15.0	6.0	39.29920349	14.14516525	2.334518002	943.4372222
2024.0	5.0	15.0	7.0	40.45749817	13.0834584	2.195266925	996.2155556
2024.0	5.0	15.0	8.0	40.9742981	12.3130464	2.670994985	971.5772222
2024.0	5.0	15.0	9.0	41.19840393	12.07650232	3.079005169	900.9127778
2024.0	5.0	15.0	10.0	41.11539612	12.14661198	3.394014716	759.9105556
2024.0	5.0	15.0	11.0	40.74778137	12.45546878	3.474801802	572.3155556
2024.0	5.0	15.0	12.0	39.98882446	13.37250481	3.220871215	357.3966667
2024.0	5.0	15.0	13.0	38.00942383	17.34996201	2.374487728	147.2877778
2024.0	5.0	15.0	14.0	35.39136658	21.58854905	2.665376208	12.97666667
2024.0	5.0	15.0	15.0	33.32851563	25.26015588	2.511083015	0.0
2024.0	5.0	15.0	16.0	31.90725098	27.69012005	2.27851169	0.0
2024.0	5.0	15.0	17.0	30.58503113	30.00515126	1.750155367	0.0
2024.0	5.0	15.0	18.0	29.14772949	33.43540182	1.409081992	0.0
2024.0	5.0	15.0	19.0	27.87203369	33.3308548	1.475695296	0.0
2024.0	5.0	15.0	20.0	26.70401917	35.76935327	1.79706134	0.0
2024.0	5.0	15.0	21.0	25.86417542	37.79588592	1.869904128	0.0
2024.0	5.0	15.0	22.0	25.10442505	39.80985128	1.891395288	0.0
2024.0	5.0	15.0	23.0	25.24083862	39.42278923	1.43519408	0.0
